0;Câu 0; Mong Ứng Dụng Giúp Ích Được Cho Bạn;YES;OKE; OKE;TRUE;D
1;Câu 1; Thành tựu đánh dấu nền khoa học – kỹ thuật Xô viết có bước phát triển vượt bậc trong thời kì 1945-1950 là:;A. đưa người vào vũ trụ.;B. đưa người lên mặt trăng.;C. chế tạo thành công bom nguyên tử.;D. chế tạo được tàu ngầm nguyên tử.;C
1;Câu 2; Sau khi lên nắm quyển lãnh đạo Đảng Cộng sản Liên Xô (3-1985), Gooc- ba-chốp đã thực hiện:;A. tăng cường quan hệ với Mĩ.;B. đường lối cải tổ.;C. tiếp tục những chính sách cũ.;D. hợp tác với các nước phương Tây.;B
1;Câu 3; Điều kiện khách quan nảo sau đây tạo thuận lợi cho các dân tộc Đông Nam Á nỗi dậy giành chính quyền sau Chiến tranh thế giới thứ hai ?;A. Các nước Đồng minh tiến vào giải phóng Đông Nam Á.;B. Liên Xô giúp đỡ các nước Đông Nam Á.;C. Phát xít Nhật đầu hàng Đồng minh không điều kiện.;D. Được sự giúp đỡ của quân MI.;C
1;Câu 4; Các quốc gia Đông Nam Á tham gia sáng lập tổ chức ASEAN là:;A. Thái Lan, Mi-an-ma, Ma-lai-xi-a, Xin-ga-po và Phi-líp-pin.;B. Thái Lan, Bru-nây, Ma-lai-xi-a, Xin-ga-po và Phi-líp-pin.;C. Thái Lan, In-đô-nê-xi-a, Ma-lai-xi-a, Xin-ga-po và Phi-líp-pin.;D. Thái Lan, Cam-pu-chia, Ma-lai-xi-a, Xin- ga-po và Phi-líp-pin.;C
1;Câu 5; Quốc gia khởi đầu trong phong trào đấu tranh chống chủ nghĩa thực dân ở châu Phi sau Chiến tranh thế giới thứ hai là:;A. Ai-cập.;B. An-giê-ri.;C. Xu- -đăng.;D. Ăng-gô-la.;A
1;Câu 6; Quốc gia nào dưới đây được coi như “Một ngọn cờ tiên phong đi hàng đầu” trong phong trào giải phóng dân tộc ở khu vực Mĩ La-tinh sau Chiến tranh thế giới thứ hai?;A. Cu-ba.;B. Ni-ca-ra-goa.;C. Bô-li-vi-a.;D. Chi-lê.;A
1;Câu 7; Sau Chiến tranh thế giới thứ hai đến năm 1973 tình hình nổi bật của kinh tế nước Mĩ là:;A. công nghiệp giữ vai trò quan trọng nhất.;B. phụ thuộc chặt chẽ vào các nước châu Âu.;C. trở thành nước tư bản giàu mạnh nhất thế giới.;D. nhanh chóng khôi phục nền kinh tế và đạt được bước phát triển “thần kì”.;C
1;Câu 8; Sự kiện nào sau đây đánh dấu chế độ xã hội chủ nghĩa ở Liên Xô chấm dứt?;A. Đảng Cộng sản Liên Xô bị đình chỉ hoạt động.;B. Các nước cộng hòa tách ra khỏi Liên bang Xô viết và tuyên bố độc lập.;C. Cộng đồng các quốc gia độc lập (SNG) thành lập.;D. Lá cờ Liên bang Xô viết trên nóc điện Crem-li bị hạ xuống.;D
1;Câu 9; Sự liên kết Cao nhất của các nước Tây Âu sau chiến tranh thế giới thứ hai đến nay gắn với sự ra đời của tổ chức nào dưới đây?;A. Cộng đồng than-thép châu Âu.;B. Liên minh châu Âu.;C. Cộng đồng châu Âu.;D. Cộng đồng kinh tế châu Âu.;B
1;Câu 10; Cơ sở hình thành khuôn khổ của trật tự thế giới hai cực Ianta sau Chiến tranh thế giới thứ hai là:;A. quyết định về việc phân chia khu vực ảnh hưởng ở châu Âu của Hội nghị lanta.;B. quyết định về việc phân chia phạm vi ảnh hưởng ở châu Á của Hội nghị lanta.;C. toàn bộ những thỏa thuận của ba cường quốc Liên Xô, Mĩ, Anh sau Hội nghị lanta.;D. toàn bộ những thỏa thuận quy định về việc phân chia ảnh hưởng giữa hai cường quốc Liên Xô và Mĩ tại Hội nghị lanta.;D
1;Câu 11; Một trong những thành tựu kĩ thuật được đánh giá quan trọng nhất của thế kỷ XX là:;A. tìm ra phương pháp sinh sản vô tính.;B. chế tạo thành công bom nguyên tử.;C. công bố “Bản đồ gen người”.;D. Phát minh ra máy tính điện tử.;D
1;Câu 12; Biểu hiện rõ nhất thể hiện sự phát triển kinh tế “thần kì” của Nhật Bản từ năm 1960 đến năm 1973 là:;A. kinh tế vượt Anh, Pháp, Đức, Italia.;B. tốc độ tăng trưởng bình quân hằng năm tăng nhanh.;C. trở thành một trong ba trung tâm kinh tế – tài chính lớn của thế giới.;D. dẫn đầu thế giới về công nghiệp dân dụng.;C
1;Câu 13; Điểm khác biệt cơ bản giữa phong trào giải phóng dân tộc ở khu vực Mĩ La-tinh và phong trào giải phóng dân tộc ở châu Phi sau Chiến tranh thế giới thứ hai là:;A. MI La-tinh chống chủ nghĩa thực dân mới, châu Phi chống chủ nghĩa thực dân cũ.;B. Mi La-tinh chống chủ nghĩa thực dân cũ, châu Phi chống chủ nghĩa thực dân mới.;C. hình thức đấu tranh của Mĩ La-tinh đa dạng, phong phú hơn châu Phi.;D. mức độ giành được độc lập của Mĩ La-tinh triệt để hơn châu Phi.;A
1;Câu 14; Trong cuộc khai thác thuộc địa lần thứ hai ở Việt Nam sau Chiến tranh thế giới thứ nhất thực đân Pháp tăng cường đầu tư nhiều nhất vào lĩnh vực:;A. công nghiệp chế tạo máy.;B. khai mỏ và đồn điền cao su.;C. giao thông vận tải.;D. thương nghiệp.;B
1;Câu 15; Tổ chức cách mạng được Nguyễn Ái Quốc thành lập ở Quảng Châu, Trung Quốc (6-1925) là:;A. Tâm tâm xã.;B. Hội Việt Nam Cách mạng Thanh niên.;C. Tân Việt Cách mạng đảng.;D. Hội Liên hiệp các dân tộc thuộc địa.;B
1;Câu 16; Tác phẩm nào dưới đây tập hợp những bài giảng của Nguyễn Ái Quốc tại các lớp huấn luyện đào tạo cán bộ cách mạng ở Quảng Châu, Trung Quốc?;A. Nhật kí trong tù.;B. Đường Kách mệnh.;C. Hồ Chí Minh toàn tập.;D. Bản án chế độ thực dân Pháp.;B
